split,analysis_group,pair_id,label,neural_score,symbolic_status,violated_constraints,positive_evidence,uncertain_reasons,final_decision,governed_pred,decision_reason,left_title,right_title,left_brand,right_brand,left_price,right_price
test,neural_fp_blocked_by_symbolic_invalid,74588061#6175893,0,0.9836606646198562,invalid,['model_token_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Tissot T048.417.27.057.00,Đồng hồ Tissot T006.207.11.038.00,,,15910.00,18140000
test,neural_fp_blocked_by_symbolic_invalid,66481726#76350435,0,0.983635110892906,invalid,['quantity_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,44.99,59.99
test,neural_fp_blocked_by_symbolic_invalid,68464601#1547160,0,0.9832624512920772,invalid,['model_token_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Garmin STRIKER Plus 7sv with Transducer,Garmin Striker Plus 5cv Fishfinder with GT-20TM Transducer,,,499.99,399
test,neural_fp_blocked_by_symbolic_invalid,25351062#66481726,0,0.982260337238618,invalid,['quantity_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,,,39.99,44.99
test,neural_fp_blocked_by_symbolic_invalid,6189668#25351062,0,0.9801530338639132,invalid,['quantity_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone XR Screen - Fix Kit / New / Part Only / New,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,109.99,39.99
test,neural_fp_blocked_by_symbolic_invalid,56698149#18510686,0,0.9792200756464786,invalid,['variant_modifier_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Epson Ultra Glossy Photo Paper,Epson A4 Glossy Photo Paper 20 Sheets,Epson,,2150,9.96
test,neural_fp_blocked_by_symbolic_invalid,28797890#28797891,0,0.9791306324748912,invalid,['quantity_conflict'],"['brand_match', 'model_token_overlap']",['currency_missing_or_mismatch'],reject,0,symbolic_invalid_blocks,Shimano BR-M8120 XT 4-Piston Disc Brakes - Rear Brake (1700mm),Shimano BR-M8120 XT 4-Piston Disc Brakes - Front Brake (1000mm),Shimano,Shimano,209.99,209.99
test,neural_fp_blocked_by_symbolic_invalid,88943801#66481726,0,0.978867827191914,invalid,['quantity_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone 6s Screen - New / Fix Kit / Black / Neu / New / Fix Kit / White / Neu / New / Part Only / Black / Neu / New / Part Only / White / Neu,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,,,59.99,44.99
test,neural_fp_blocked_by_symbolic_invalid,85035598#37728852,0,0.9788487709476243,invalid,['model_token_conflict'],[],"['brand_missing', 'multiple_quantities_ambiguous', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Fisher & Paykel WH8060J3 8kg Front Load Washing Machine,Fisher & Paykel 10kg Front Load Washing Machine,Fisher & Paykel,,799,1298
test,neural_fp_blocked_by_symbolic_invalid,88943801#6189668,0,0.9788188110952428,invalid,['quantity_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone 6s Screen - New / Fix Kit / Black / Neu / New / Fix Kit / White / Neu / New / Part Only / Black / Neu / New / Part Only / White / Neu,iPhone XR Screen - Fix Kit / New / Part Only / New,,,59.99,109.99
valid,neural_fp_blocked_by_symbolic_invalid,17212553#62172007,0,0.9787983226264116,invalid,['model_token_conflict'],['brand_match'],['currency_missing_or_mismatch'],reject,0,symbolic_invalid_blocks,Corsair ML Series ML120 PRO LED Premium Magnetic Levitation,Corsair ML Series ML140 PRO LED Premium Magnetic Levitation,Corsair,Corsair,265,284
test,neural_fp_blocked_by_symbolic_invalid,88943801#35452020,0,0.978427161753343,invalid,['variant_modifier_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone 6s Screen - New / Fix Kit / Black / Neu / New / Fix Kit / White / Neu / New / Part Only / Black / Neu / New / Part Only / White / Neu,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,,,59.99,44.99
test,neural_fp_blocked_by_symbolic_invalid,56698149#65979382,0,0.9779066213078014,invalid,['variant_modifier_conflict'],[],"['brand_missing', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Epson Ultra Glossy Photo Paper,Epson Premium Glossy Photo A4 Paper (Pack of 50) C13S041624,Epson,,2150,36.11
test,neural_fp_blocked_by_symbolic_invalid,25351062#35452020,0,0.9775258592308296,invalid,['variant_modifier_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,,,39.99,44.99
test,neural_fp_blocked_by_symbolic_invalid,35452020#45858702,0,0.9767914712158436,invalid,['variant_modifier_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,iPhone 4S Screen - New / Fix Kit / Black / новое / New / Fix Kit / White / новое / New / Part Only / Black / новое / New / Part Only / White / новое,,,44.99,39.99
test,neural_fp_blocked_by_symbolic_invalid,75325202#25351062,0,0.9760138941464076,invalid,['quantity_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone SE Screen - Fix Kit / Black / 全新 / Fix Kit / White / 全新 / Part Only / Black / 全新 / Part Only / White / 全新,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,44.99,39.99
test,neural_fp_blocked_by_symbolic_invalid,35452020#76350435,0,0.9755459278505572,invalid,['variant_modifier_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,44.99,59.99
test,neural_fp_blocked_by_symbolic_invalid,76350435#25351062,0,0.9750915514543874,invalid,['quantity_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch', 'category_keyword_mismatch']",reject,0,symbolic_invalid_blocks,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,59.99,39.99
test,neural_fp_blocked_by_symbolic_invalid,19121174#27299211,0,0.974171815028882,invalid,['model_token_conflict'],['category_keyword_overlap'],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Genuine Brother LC223VALBP Ink Cartridge Multipack,Genuine High Capacity 3 Colour Brother LC1280XL Ink Cartridge Multipack (LC-1280XLC/M/Y),,Brother,66.01,61.48
test,neural_fp_blocked_by_symbolic_invalid,1547160#68819356,0,0.9733828015268864,invalid,['model_token_conflict'],[],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Garmin Striker Plus 5cv Fishfinder with GT-20TM Transducer,"Garmin 010-01872-00 Striker Plus 5Cv with Cv20-TM transducer, 5 inches",,Garmin,399,299.99
valid,governed_false_positive,96929485#90174187,0,1.0,valid,[],['category_keyword_overlap'],"['brand_missing', 'model_tokens_no_overlap', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,APC Smart-UPS SRT 10000VA 230V,APC,,205000000,10630.6
valid,governed_false_positive,29521578#96929485,0,1.0,valid,[],"['model_token_overlap', 'category_keyword_overlap']","['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,"APC SMART-UPS EXTERNAL BATTERY (RT SERIES), 192V (FOR SURT15KRMXLI & SURT20KRMXLI)",BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,,APC,4206.7,205000000
valid,governed_false_positive,78253269#96929485,0,1.0,uncertain,[],[],"['brand_missing', 'model_tokens_no_overlap', 'multiple_quantities_ambiguous', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Ladies Daniel Wellington Sheffield Rose 36mm Watch DW00100036,BỘ LƯU ĐIỆN UPS APC SURT20KRMXLI 20KVA,,APC,149.00,205000000
test,governed_false_positive,56698149#45220776,0,0.9924204348548196,uncertain,[],[],"['brand_missing', 'price_missing']",accept,1,score_above_threshold_not_invalid,Epson Ultra Glossy Photo Paper,"EPSON S041944 ultra glossy photo paper 300g/m², 13x18cm/50vel",Epson,,2150,
test,governed_false_positive,56159566#29009865,0,0.9889600346120624,valid,[],"['model_token_overlap', 'category_keyword_overlap']","['brand_missing', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch', 'color_conflict']",accept,1,score_above_threshold_not_invalid,Tissot Mens T-Race Cycling Dark Blue Watch T111.417.37.441.06,Tissot T111.417.37.441.05 T-Race Cycling Chronograph Black PVD 44mm,Tissot,,385.95,11820000
test,governed_false_positive,24931990#29009865,0,0.9880911398768218,valid,[],"['color_match', 'category_keyword_overlap']","['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Tissot T-Race Chronograph Cycling Chronograph,Tissot T111.417.37.441.05 T-Race Cycling Chronograph Black PVD 44mm,,,6.75E2,11820000
test,governed_false_positive,4395083#68021989,0,0.9874603493453024,uncertain,[],[],"['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,DJI Mavic 2 Enterprise Dual,DJI Mavic 2 Enterprise (Zoom) w/ Smart Controller and DJI Enterprise Shield Basic,,,999999,2.995E3
test,governed_false_positive,29009865#7185118,0,0.9867871546181628,valid,[],['model_token_overlap'],"['brand_missing', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Tissot T111.417.37.441.05 T-Race Cycling Chronograph Black PVD 44mm,Tissot T-Race Cycling T111.417.27.441.00,,,11820000,433.78
test,governed_false_positive,77900148#32297124,0,0.985988145392228,uncertain,[],[],"['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Dutch Doobadoo - Dutch Card Art - Apple,Dutch Doobadoo - Dutch Card Art - Sneeuwbol,,,4.75,4.75
test,governed_false_positive,30058882#4395083,0,0.9853527143881532,uncertain,[],[],"['brand_missing', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,DJI Mavic 2 Enterprise Dual with Shield Protection or Smart Controller,DJI Mavic 2 Enterprise Dual,DJI,,3350.00,999999
train,governed_false_positive,14128915#67646392,0,0.985225816071231,valid,[],['model_token_overlap'],"['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Shimano Dura-Ace CS-R9100 Cassette 11-speed,CS-R9100 CASSETTE 11-25 DURA-ACE 11-SPEED,,,22265,559.0
train,governed_false_positive,31276154#14128915,0,0.9852203686151996,valid,[],['model_token_overlap'],"['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Shimano Shimano Cs-R9100 Cassette 11-25 Dura-Ace 11-Speed,Shimano Dura-Ace CS-R9100 Cassette 11-speed,Shimano,,339.99,22265
test,governed_false_positive,90494765#29009865,0,0.9832386010143552,valid,[],"['model_token_overlap', 'color_match', 'category_keyword_overlap']","['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Tissot T111.417.37.441.04 T-Race Cycling (Choose free two-day shipping at checkout),Tissot T111.417.37.441.05 T-Race Cycling Chronograph Black PVD 44mm,,,4.95E2,11820000
valid,governed_false_positive,83455425#35724064,0,0.9823898160223036,valid,[],"['model_token_overlap', 'category_keyword_overlap']","['brand_missing', 'multiple_quantities_ambiguous', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Ubiquiti UVC-G3-FLEX UniFi Video Flex Manually Adjustable 1080p PoE Indoor/Outdoor IP Camera (3 Pack),Ubiquiti UVC-G3-FLEX UniFI IP Dome Camera,UBIQUITI,,195.91,$‎147.95
test,governed_false_positive,37696616#18510686,0,0.9821737200727998,uncertain,[],[],"['brand_missing', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Epson Premium Glossy Photo Paper - A4 - 20 Sheets,Epson A4 Glossy Photo Paper 20 Sheets,,,19.80,9.96
valid,governed_false_positive,61976083#45988376,0,0.9818504001530656,valid,[],['category_keyword_overlap'],"['brand_missing', 'model_tokens_no_overlap', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Brother HL-L6200DW Wireless High Speed Mono Laser Printer - Duplex Printer,BROTHER MFC-L2710DW COMPACT LASER ALL-IN-ONE WITH DUPLEX PRINTING WITH WIRELESS NETWORKING - COPIER/FAX/PRINTER/SCANNER - 32 PPM MONO PRINT - 2400 X 600 DPI PRINT - AUTOMATIC DUPLEX PRINT - 1200 DPI OPTICAL SCAN - 250 SHEETS INPUT - ETHERNET - WIRELE,,,529.00,$249.99
test,governed_false_positive,24457389#52120879,0,0.981751817728926,valid,[],"['brand_match', 'category_keyword_overlap']",['currency_missing_or_mismatch'],accept,1,score_above_threshold_not_invalid,Sharp Toner Cyan 15k - MX-2640,Sharp Toner Cyan 15k - MX2300/2700,Sharp,Sharp,1295,1395
valid,governed_false_positive,63386383#88950114,0,0.9809379599895608,uncertain,[],[],"['brand_missing', 'multiple_quantities_ambiguous', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Fujifilm XF-56mm f1.2 APD,Fujifilm XF-56mm f1.2 R,,Fujifilm,999.00,879.49
test,governed_false_positive,63634340#30137322,0,0.979204300474048,valid,[],['brand_match'],"['price_missing', 'color_conflict']",accept,1,score_above_threshold_not_invalid,"Zebra Black Monochrome Ribbon - K - 1,000 prints","Zebra Gold Monochrome Ribbon - 1,000 prints",zebra,zebra,,
test,governed_false_positive,56774153#60071236,0,0.975879648478435,uncertain,[],[],"['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,"Card Art Card Baby romper, Dutch Doobadoo 470.713.595",Dutch Doobadoo Card Art 3733 Snowdome,,,2.75,3.15
valid,governed_false_positive,79599413#55369895,0,0.975729759010974,uncertain,[],[],"['brand_missing', 'model_tokens_no_overlap', 'bundle_or_kit_mismatch', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,"EPSON Multipack fr EPSON Stylus Photo R200 / R300 Inhalt: je 1x light cyan, cyan, light magenta, magenta, gelb, schwarz (neu: C13T04874010 / alt: C13T048140A0) R220 / R320 / R340 / RX500 / RX600 / RX620 / RX640",Epson STYLUS PHOTO R3000 BLACK INK,EPSON,,99.41,24.81
train,governed_false_positive,98586705#25435848,0,0.975336973970805,uncertain,[],[],"['brand_missing', 'multiple_quantities_ambiguous', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Apple 60W MagSafe 2 Power Adapter Macbook 60w Magsafe2 Power Adapter,APPLE APPLE 60W MAGSAFE POWER ADAPTER,,APPLE,79.0000,1049.00
valid,governed_false_positive,76444235#81158427,0,0.9753039815511524,valid,[],"['brand_match', 'category_keyword_overlap']","['multiple_quantities_ambiguous', 'price_missing']",accept,1,score_above_threshold_not_invalid,"HDD: 8 Tb (3.5\"") 7200 Seagate IronWolf Pro SATA III 256Mb (ST8000NE001)","HDD: 16 Tb (3.5\"") 7200 Seagate IronWolf Pro SATA III 256Mb",Seagate,Seagate,,
train,governed_false_positive,27442156#71716796,0,0.9752975083266688,uncertain,[],[],"['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Swiss Military Hanowa FLAGSHIP 06-5161.2.04.007 Herrenuhr,Swiss Military Hanowa Flagship 06-5161.2.04.003,,SWISS MILITARY HANOWA,"378,00 лв",6145.0000
test,governed_false_positive,95629679#3745118,0,0.9747365308795264,uncertain,[],[],"['brand_missing', 'multiple_quantities_ambiguous', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Peak Design Everyday Backpack 20L v2 - Midnight,Peak Design Everyday Backpack 20L V2,,Peak Design,259.95,1920
test,governed_false_positive,31981847#56354267,0,0.9738264343622768,uncertain,[],[],"['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Dutch Doobadoo Dutch Card Art Stencil Window A4,Dutch Doobadoo Dutch Card Art Stencil appel A4 470.713.596,,,4.95,4.85
test,governed_false_positive,56159566#7185118,0,0.9736283013075556,valid,[],['model_token_overlap'],"['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Tissot Mens T-Race Cycling Dark Blue Watch T111.417.37.441.06,Tissot T-Race Cycling T111.417.27.441.00,Tissot,,385.95,433.78
test,governed_false_positive,653566#7185118,0,0.9731301531940068,valid,[],['model_token_overlap'],"['brand_missing', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Tissot Mens T-Race Cycling Light Blue Watch T111.417.37.441.05,Tissot T-Race Cycling T111.417.27.441.00,Tissot,,377.65,433.78
train,governed_false_positive,77564821#63223933,0,0.9726408122388334,uncertain,[],[],"['brand_missing', 'multiple_quantities_ambiguous', 'currency_missing_or_mismatch']",accept,1,score_above_threshold_not_invalid,Kingston 128GB microSDXC Canvas Select 80MB/s C10 UHS-I,Kingston 64GB microSDXC Canvas Select 80MB/s C10 UHS-I,,,90,40
test,governed_false_positive,57914917#63634340,0,0.972279008882024,valid,[],['color_match'],"['brand_missing', 'bundle_or_kit_mismatch', 'price_missing']",accept,1,score_above_threshold_not_invalid,"Black Monochrome Ribbon - K - 3,000 prints","Zebra Black Monochrome Ribbon - K - 1,000 prints",,zebra,0.00,
valid,true_positive_blocked_by_symbolic_invalid,27584246#56852351,1,0.986784447146282,invalid,['model_token_conflict'],['category_keyword_overlap'],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Kyocera toner TK-3100 (1T02MS0NL0),Kyocera TK-3100 Black Toner Cartridge,Kyocera,,104.90,96.73
valid,true_positive_blocked_by_symbolic_invalid,53299737#65414283,1,0.982199037119051,invalid,['quantity_conflict'],['color_match'],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,"Johnnie Walker Blue Label Premium Scotch Whisky 40% vol. 0,7l",Johnnie Walker Blue Label Whisky 700ml,,,155.82,249.99
train,true_positive_blocked_by_symbolic_invalid,61023022#23384019,1,0.9803179938987168,invalid,['model_token_conflict'],['category_keyword_overlap'],"['brand_missing', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Mixer video Blackmagic ATEM Production Studio 4K Video Switcher,Blackmagic ATEM Production Studio 4K,,,1445,1.629E5
test,true_positive_blocked_by_symbolic_invalid,12722049#13640797,1,0.9798335314978656,invalid,['variant_modifier_conflict'],['category_keyword_overlap'],"['brand_missing', 'model_tokens_no_overlap', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Autel Robotics EVO II 6K Gimbal Camera,"Autel Robotics EVO II Pro Gimbal Camera 1\"" 6K Camera for EVO 2 Drones, In Stock",,,8.79E2,6.95E2
test,true_positive_blocked_by_symbolic_invalid,29938853#87564521,1,0.975105505691407,invalid,['model_token_conflict'],"['brand_match', 'category_keyword_overlap']",['currency_missing_or_mismatch'],reject,0,symbolic_invalid_blocks,Canon PGI-72 Ink Cartridge (Photo Magenta)CO90223,Genuine Canon PGI-72 Photo Magenta Ink Cartridge (PGI72PMOEM),Canon,Canon,11.29,14.99
train,true_positive_blocked_by_symbolic_invalid,84875057#69931309,1,0.9724443619121724,invalid,['model_token_conflict'],[],"['brand_missing', 'multiple_quantities_ambiguous', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,8GB Corsair ValueSelect DDR4-2133 DIMM CL15 Single,Corsair DDR4 8GB 2133Mhz CL15 Dimm Valueselect Single Module CMV8GX4M1A2133C15,Corsair,,33.99,29.1
test,true_positive_blocked_by_symbolic_invalid,7987227#31807881,1,0.9713324375048514,invalid,['variant_modifier_conflict'],"['brand_match', 'model_token_overlap']","['multiple_quantities_ambiguous', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Switch CISCO WS-C2960XR-24PS-I,"Cisco Catalyst 2960-XR | WS-C2960XR-24PS-I Catalyst 2960XR 24 port 10/100/1000 PoE+ 370W, 4 x 1G SFP, IP Lite",Cisco,Cisco,43773.34,76000
train,true_positive_blocked_by_symbolic_invalid,29012618#26727944,1,0.971015745187382,invalid,['brand_conflict'],['model_token_overlap'],['currency_missing_or_mismatch'],reject,0,symbolic_invalid_blocks,SRAM NX Eagle 12-Speed Trigger Shifter with Discrete Clamp,"SRAM SRAM NX Eagle 12-Speed Trigger Shifter with Discrete Clamp, Black",QBP,SRAM,42.0,42.00
train,true_positive_blocked_by_symbolic_invalid,96810371#61978477,1,0.9705451471439084,invalid,['brand_conflict'],"['model_token_overlap', 'category_keyword_overlap']","['multiple_quantities_ambiguous', 'currency_missing_or_mismatch']",reject,0,symbolic_invalid_blocks,Networking Device 48 Port Full PoE 2x10G LAN - WS-C3650-48FD-L,Cisco Ws-c3650-48fd-l (ws-c3650-48fd-l) Cisco Catalyst 3650 48 Port Full Poe 2x10g Uplink Lan Base,Cisco Linksys,Cisco,6467.98,9593
