split,example_group,pair_id,label,neural_score,symbolic_risk,governed_score,mode,threshold,lambda_risk,rho,symbolic_status,violated_constraints,risk_terms,left_title,right_title,left_brand,right_brand,left_price,right_price
test,soft_penalty_fixed_hard_veto_error,66481726#76350435,0,0.983635110892906,0.16666666666666666,0.8169684442262394,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,44.99,59.99
test,soft_penalty_fixed_hard_veto_error,68464601#1547160,0,0.9832624512920772,0.16666666666666666,0.8165957846254106,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Garmin STRIKER Plus 7sv with Transducer,Garmin Striker Plus 5cv Fishfinder with GT-20TM Transducer,,,499.99,399
test,soft_penalty_fixed_hard_veto_error,25351062#66481726,0,0.982260337238618,0.16666666666666666,0.8155936705719514,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,,,39.99,44.99
test,soft_penalty_fixed_hard_veto_error,6189668#25351062,0,0.9801530338639132,0.16666666666666666,0.8134863671972465,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",iPhone XR Screen - Fix Kit / New / Part Only / New,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,109.99,39.99
test,soft_penalty_fixed_hard_veto_error,56698149#18510686,0,0.9792200756464786,0.13333333333333333,0.8458867423131453,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]",Epson Ultra Glossy Photo Paper,Epson A4 Glossy Photo Paper 20 Sheets,Epson,,2150,9.96
test,soft_penalty_fixed_hard_veto_error,28797890#28797891,0,0.9791306324748912,0.16666666666666666,0.8124639658082246,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",Shimano BR-M8120 XT 4-Piston Disc Brakes - Rear Brake (1700mm),Shimano BR-M8120 XT 4-Piston Disc Brakes - Front Brake (1000mm),Shimano,Shimano,209.99,209.99
test,soft_penalty_fixed_hard_veto_error,88943801#66481726,0,0.978867827191914,0.16666666666666666,0.8122011605252474,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",iPhone 6s Screen - New / Fix Kit / Black / Neu / New / Fix Kit / White / Neu / New / Part Only / Black / Neu / New / Part Only / White / Neu,iPhone SE Screen - Fix Kit / Black / New / Fix Kit / White / New / Part Only / Black / New / Part Only / White / New,,,59.99,44.99
test,soft_penalty_fixed_hard_veto_error,85035598#37728852,0,0.9788487709476243,0.16666666666666666,0.8121821042809577,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Fisher & Paykel WH8060J3 8kg Front Load Washing Machine,Fisher & Paykel 10kg Front Load Washing Machine,Fisher & Paykel,,799,1298
test,soft_penalty_fixed_hard_veto_error,88943801#6189668,0,0.9788188110952428,0.16666666666666666,0.8121521444285762,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",iPhone 6s Screen - New / Fix Kit / Black / Neu / New / Fix Kit / White / Neu / New / Part Only / Black / Neu / New / Part Only / White / Neu,iPhone XR Screen - Fix Kit / New / Part Only / New,,,59.99,109.99
test,soft_penalty_fixed_hard_veto_error,88943801#35452020,0,0.978427161753343,0.13333333333333333,0.8450938284200097,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]",iPhone 6s Screen - New / Fix Kit / Black / Neu / New / Fix Kit / White / Neu / New / Part Only / Black / Neu / New / Part Only / White / Neu,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,,,59.99,44.99
test,soft_penalty_fixed_hard_veto_error,56698149#65979382,0,0.9779066213078014,0.13333333333333333,0.8445732879744681,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]",Epson Ultra Glossy Photo Paper,Epson Premium Glossy Photo A4 Paper (Pack of 50) C13S041624,Epson,,2150,36.11
test,soft_penalty_fixed_hard_veto_error,25351062#35452020,0,0.9775258592308296,0.13333333333333333,0.8441925258974963,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]",iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,,,39.99,44.99
test,soft_penalty_fixed_hard_veto_error,35452020#45858702,0,0.9767914712158436,0.13333333333333333,0.8434581378825103,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]",iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,iPhone 4S Screen - New / Fix Kit / Black / новое / New / Fix Kit / White / новое / New / Part Only / Black / новое / New / Part Only / White / новое,,,44.99,39.99
test,soft_penalty_fixed_hard_veto_error,75325202#25351062,0,0.9760138941464076,0.16666666666666666,0.809347227479741,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",iPhone SE Screen - Fix Kit / Black / 全新 / Fix Kit / White / 全新 / Part Only / Black / 全新 / Part Only / White / 全新,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,44.99,39.99
test,soft_penalty_fixed_hard_veto_error,35452020#76350435,0,0.9755459278505572,0.13333333333333333,0.8422125945172239,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]",iPhone 7 Plus Lightning Connector Assembly - Gray / New / Fix Kit / White / New / Fix Kit / Black / New / Fix Kit / Gray / New / Part Only / White / New / Part Only / Black / New / Part Only,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,44.99,59.99
test,soft_penalty_fixed_hard_veto_error,76350435#25351062,0,0.9750915514543874,0.16666666666666666,0.8084248847877208,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,iPhone 4S Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,59.99,39.99
test,soft_penalty_fixed_hard_veto_error,19121174#27299211,0,0.974171815028882,0.16666666666666666,0.8075051483622153,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Genuine Brother LC223VALBP Ink Cartridge Multipack,Genuine High Capacity 3 Colour Brother LC1280XL Ink Cartridge Multipack (LC-1280XLC/M/Y),,Brother,66.01,61.48
test,soft_penalty_fixed_hard_veto_error,1547160#68819356,0,0.9733828015268864,0.16666666666666666,0.8067161348602198,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Garmin Striker Plus 5cv Fishfinder with GT-20TM Transducer,"Garmin 010-01872-00 Striker Plus 5Cv with Cv20-TM transducer, 5 inches",,Garmin,399,299.99
test,soft_penalty_fixed_hard_veto_error,40458528#14276753,0,0.9733122328495806,0.16666666666666666,0.8066455661829139,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Nikon EN-EL23 Rechargeable Li-ion Battery for P600/610 and P900,Nikon EN-EL9a Rechargeable Battery,,,69.99,49.95
test,soft_penalty_fixed_hard_veto_error,45858702#76350435,0,0.9727187684825171,0.16666666666666666,0.8060521018158505,soft_score_penalty,0.66,1.0,1.0,invalid,"[""quantity_conflict""]","[""quantity_conflict""]",iPhone 4S Screen - New / Fix Kit / Black / новое / New / Fix Kit / White / новое / New / Part Only / Black / новое / New / Part Only / White / новое,iPhone 6s Screen - New / Fix Kit / Black / Yeni / New / Fix Kit / White / Yeni / New / Part Only / Black / Yeni / New / Part Only / White / Yeni,,,39.99,59.99
test,high_risk_rejected_by_soft,9254635#67638616,0,0.9542052969345084,0.3333333333333333,0.620871963601175,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""quantity_conflict""]","[""model_token_conflict"", ""quantity_conflict""]","Hard Disk Drive portabil SEAGATE Backup Plus Slim STHN2000403, 2TB, USB 3.0, rosu","Hard Disk Drive portabil SEAGATE Backup Plus Slim STHN1000402, 1TB, USB 3.0, albastru",,,,
test,high_risk_rejected_by_soft,84271012#33271813,1,0.9423726295996148,0.3,0.6423726295996148,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""variant_modifier_conflict""]","[""model_token_conflict"", ""variant_modifier_conflict""]",70mm X 120mm Tarot Card Board Game Sleeves (50 ct.),Ultra Pro - Board Game Sleeves 50ct - Tarot Sized - 70mm x 120mm,Ultra PRO,,0.0,3.25
test,high_risk_rejected_by_soft,47032850#45220776,0,0.9286013846109747,0.3,0.6286013846109748,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict"", ""quantity_conflict""]","[""variant_modifier_conflict"", ""quantity_conflict""]","EPSON S041287 premium glossy photo paper 255g/m², A4/20vel","EPSON S041944 ultra glossy photo paper 300g/m², 13x18cm/50vel",,,,
test,high_risk_rejected_by_soft,65759176#10816,0,0.9050554797925224,0.3,0.6050554797925225,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""variant_modifier_conflict""]","[""model_token_conflict"", ""variant_modifier_conflict""]",Victron Energy BlueSolar PWM Pro Charge Controller 12/24V 20A,Charge Controller BlueSolar DUO PWM 24V-20A,,,74.00,116.99
test,high_risk_rejected_by_soft,81738280#65759176,0,0.8974363261565778,0.3,0.5974363261565778,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""variant_modifier_conflict""]","[""model_token_conflict"", ""variant_modifier_conflict""]",Victron Energy Remote Panel for BlueSolar DUO,Victron Energy BlueSolar PWM Pro Charge Controller 12/24V 20A,,,47.94,74.00
test,high_risk_rejected_by_soft,26650551#67991855,1,0.8937102111550198,0.3,0.5937102111550199,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""variant_modifier_conflict""]","[""model_token_conflict"", ""variant_modifier_conflict""]",Shure Beta58A Handheld Dynamic Microphone,Shure Beta 58A Hand-Held Dynamic High-Output Pro Quality Vocal Microphone,,,219.00,159.99
test,high_risk_rejected_by_soft,68747557#89189013,0,0.8911350480609502,0.3333333333333333,0.5578017147276169,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""quantity_conflict""]","[""model_token_conflict"", ""quantity_conflict""]",Samsung A515 Galaxy A51 Dual Sim (blue) -128 GB - DE,Samsung A315 Galaxy A31 Dual Sim (blue) - 64 GB - EU,,,,
test,high_risk_rejected_by_soft,8780477#10816,0,0.8870443199284654,0.3,0.5870443199284654,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""variant_modifier_conflict""]","[""model_token_conflict"", ""variant_modifier_conflict""]",Victron Energy BlueSolar PWM Pro Charge Controller 12/24V 5A - SCC010005010,Charge Controller BlueSolar DUO PWM 24V-20A,Victron Energy,,33.60,116.99
test,high_risk_rejected_by_soft,95017941#65761443,0,0.8673284144155652,0.3333333333333333,0.5339950810822318,soft_score_penalty,0.66,1.0,1.0,invalid,"[""accessory_main_product_conflict"", ""model_token_conflict""]","[""accessory_main_product_conflict"", ""model_token_conflict""]",Copy Rolex Datejust 31 Oystersteel 18 ct yellow gold M278273-0003 Silver set with diamonds Dial,Rolex Datejust 31 Oystersteel 18 ct yellow gold M278343RBR-0019 Silver set with diamonds Dial,,,150,153
test,high_risk_rejected_by_soft,27145682#67638616,0,0.8161329340791523,0.3333333333333333,0.482799600745819,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""quantity_conflict""]","[""model_token_conflict"", ""quantity_conflict""]",Seagate Backup Plus Slim STHN2000406hard drive - 2 TB - USB 3.0,"Hard Disk Drive portabil SEAGATE Backup Plus Slim STHN1000402, 1TB, USB 3.0, albastru",,,68.96,
test,high_risk_rejected_by_soft,68571415#5411056,0,0.8157469162804722,0.3333333333333333,0.48241358294713893,soft_score_penalty,0.66,1.0,1.0,invalid,"[""accessory_main_product_conflict"", ""model_token_conflict""]","[""accessory_main_product_conflict"", ""model_token_conflict""]",Cisco IE-2000-16TC-G-L Industrial Ethernet 2000 Series 16-port Managed Switch with 2x Gigabit SFP,IE-2000-4TS-G-B Cisco Industrial Ethernet 2000 Switch (Refurb),,,"1,549.00",597.00
test,high_risk_rejected_by_soft,95017941#93561637,0,0.8150086813993931,0.3333333333333333,0.48167534806605977,soft_score_penalty,0.66,1.0,1.0,invalid,"[""accessory_main_product_conflict"", ""model_token_conflict""]","[""accessory_main_product_conflict"", ""model_token_conflict""]",Copy Rolex Datejust 31 Oystersteel 18 ct yellow gold M278273-0003 Silver set with diamonds Dial,Rolex Datejust 31 Oystersteel 18 ct yellow gold M278243-0013 Champagne-colour Dial,,,150,152
test,high_risk_rejected_by_soft,79812958#89189013,0,0.7733648114666241,0.3333333333333333,0.44003147813329074,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""quantity_conflict""]","[""model_token_conflict"", ""quantity_conflict""]",Samsung A515 Galaxy A51 Dual Sim (black) -128 GB - EU,Samsung A315 Galaxy A31 Dual Sim (blue) - 64 GB - EU,,,,
test,high_risk_rejected_by_soft,65761443#80693528,0,0.7473860156038918,0.3333333333333333,0.4140526822705585,soft_score_penalty,0.66,1.0,1.0,invalid,"[""accessory_main_product_conflict"", ""model_token_conflict""]","[""accessory_main_product_conflict"", ""model_token_conflict""]",Rolex Datejust 31 Oystersteel 18 ct yellow gold M278343RBR-0019 Silver set with diamonds Dial,Copy Rolex Datejust 31 Oystersteel 18 ct white gold M178274-0043 Pink mother-of-pearl set with diamonds Dial,,,153,135
test,high_risk_rejected_by_soft,32720682#47209317,0,0.7332898118694311,0.3333333333333333,0.3999564785360978,soft_score_penalty,0.66,1.0,1.0,invalid,"[""brand_conflict"", ""model_token_conflict""]","[""brand_conflict"", ""model_token_conflict""]",HP 16GB Dual Rank x4 PC3-12800R (DDR3-1600) 1.5V Memory Dimm,PATRIOT Memory DDR3 8GB PC3-12800 (1600MHz) DIMM - 8 GB - 1 x 8 GB - DDR3 - 1600 MHz - 240-pin DIMM,HP,PATRIOT,88.95,35.71
test,high_risk_rejected_by_soft,22972866#20666180,0,0.7271123813489248,0.3333333333333333,0.39377904801559144,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""quantity_conflict""]","[""model_token_conflict"", ""quantity_conflict""]","Philips 50PUS7504/12, SMART TV LED Android, Ultra HD 4K, Ambilight, 126 cm","LG 49\"" 4K Ultra HD Flat LED Smart TV",,,2399.99,57899
test,high_risk_rejected_by_soft,15196749#31807881,0,0.7148720952004937,0.3,0.4148720952004937,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""variant_modifier_conflict""]","[""model_token_conflict"", ""variant_modifier_conflict""]",Catalyst 3560X 48 Port Data IP Base,"Cisco Catalyst 2960-XR | WS-C2960XR-24PS-I Catalyst 2960XR 24 port 10/100/1000 PoE+ 370W, 4 x 1G SFP, IP Lite",,Cisco,,76000
test,high_risk_rejected_by_soft,88171897#34174042,0,0.6993154255218301,0.3333333333333333,0.3659820921884968,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""quantity_conflict""]","[""model_token_conflict"", ""quantity_conflict""]",FISHER & PAYKEL 10KG FRONT LOADER WASHER,Simpson SWF7025EQWA 7kg Front Load Washer,,,1979,487
test,high_risk_rejected_by_soft,53604059#93703640,0,0.6802855279284113,0.3333333333333333,0.34695219459507803,soft_score_penalty,0.66,1.0,1.0,invalid,"[""accessory_main_product_conflict"", ""model_token_conflict""]","[""accessory_main_product_conflict"", ""model_token_conflict""]",HP LaserJet Pro M203dn A4 Mono Printer,"HP LaserJet Managed MFP M 720 Series Original Cartouche de toner noir originale ID-Fabricant: No. 14X, CF214X",,"Original Cartouche de toner noir originale ID-Fabricant: No. 14X, CF214X",180.29,227.00
test,high_risk_rejected_by_soft,96389554#98370950,0,0.6757125761667948,0.3333333333333333,0.3423792428334615,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict"", ""quantity_conflict""]","[""model_token_conflict"", ""quantity_conflict""]",1500VA Smart UPS LCD RM2U 120V,"APC Smart-UPS 1000VA/640W, 1U, Line-Interactive, AVR, repl.batt., USB, COM, SmartSlot (SUA1000RMI1U)",APC,,649.99,71260
test,high_risk_rejected_by_soft,3360406#17131328,0,0.6651628428736235,0.3333333333333333,0.33182950954029017,soft_score_penalty,0.66,1.0,1.0,invalid,"[""brand_conflict"", ""model_token_conflict""]","[""brand_conflict"", ""model_token_conflict""]",Genuine High Capacity Black Sharp MX-36GTBA Toner Cartridge - (MX36GTBA),Samsung ML-D3050B Original Black High Capacity Toner Cartridge,Sharp,Samsung,55.46,173.20
test,tp_recovered_by_soft_penalty,12722049#13640797,1,0.9798335314978656,0.13333333333333333,0.8465001981645323,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]",Autel Robotics EVO II 6K Gimbal Camera,"Autel Robotics EVO II Pro Gimbal Camera 1\"" 6K Camera for EVO 2 Drones, In Stock",,,8.79E2,6.95E2
test,tp_recovered_by_soft_penalty,29938853#87564521,1,0.975105505691407,0.16666666666666666,0.8084388390247403,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Canon PGI-72 Ink Cartridge (Photo Magenta)CO90223,Genuine Canon PGI-72 Photo Magenta Ink Cartridge (PGI72PMOEM),Canon,Canon,11.29,14.99
test,tp_recovered_by_soft_penalty,7987227#31807881,1,0.9713324375048514,0.13333333333333333,0.8379991041715181,soft_score_penalty,0.66,1.0,1.0,invalid,"[""variant_modifier_conflict""]","[""variant_modifier_conflict""]",Switch CISCO WS-C2960XR-24PS-I,"Cisco Catalyst 2960-XR | WS-C2960XR-24PS-I Catalyst 2960XR 24 port 10/100/1000 PoE+ 370W, 4 x 1G SFP, IP Lite",Cisco,Cisco,43773.34,76000
test,tp_recovered_by_soft_penalty,18140756#51109166,1,0.9549614259729504,0.16666666666666666,0.7882947593062838,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Ssd patriot burst 480gb 2.5 sata3 r/w speed: 560ms/s/540 mb/s,Patriot BURST 480GB 2.5 SSD,Patriot,,334.1,1.579E3
test,tp_recovered_by_soft_penalty,995548#36270221,1,0.9516952709198978,0.16666666666666666,0.7850286042532312,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Seiko Prospex Automatic Divers 200M,Seiko Mens Prospex Divers Automatic Blue Rubber Strap Watch SPB053J1,,Seiko,799,743.07
test,tp_recovered_by_soft_penalty,2157787#24112052,1,0.9408165458377008,0.16666666666666666,0.7741498791710342,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Dymo 12mm Black On Green D1 Tape (45019),DYMO 4500 TAPE BLACK/GREEN 45019,Dymo,,11.69,10.98
test,tp_recovered_by_soft_penalty,8130501#40458528,1,0.9391877789888206,0.16666666666666666,0.7725211123221539,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]","Nikon EN-EL23 Rechargeable Battery, 3.8v 1850mah",Nikon EN-EL23 Rechargeable Li-ion Battery for P600/610 and P900,,,39.90,69.99
test,tp_recovered_by_soft_penalty,26513717#26986067,1,0.9341253553082898,0.16666666666666666,0.7674586886416231,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Tissot Watch V8 Swissmatic Mens,Tissot Mens T-Sport V8 Swissmatic White Dial Bracelet Watch T106.407.11.031.01,,Tissot,390.00,351.00
test,tp_recovered_by_soft_penalty,57420280#62024223,1,0.9312439861462052,0.16666666666666666,0.7645773194795386,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]","REMO AX011200 Ambassador X Coated Drumhead, 12\""","Remo Ambassador X 12\"" - Coated- Tom-Snarefell",,REMO,15.99,
test,tp_recovered_by_soft_penalty,95423293#43068241,1,0.9302779684331884,0.16666666666666666,0.7636113017665218,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Omega - Seamaster Aqua Terra Quartz 28mm,Omega Seamaster Aqua Terra 150m Quartz 28mm Ladies Watch,Omega,,3340.00,120.00
test,tp_recovered_by_soft_penalty,13054139#50123307,1,0.9281226256502856,0.16666666666666666,0.761455958983619,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Razer BlackWidow X Tournament Edition Chroma Gaming Keyboard | RZ03-01770100-R3M1,Razer Keyboard Blackwidow X Tournament Edition Chroma,,,5.7645E2,475
test,tp_recovered_by_soft_penalty,71970575#52120879,1,0.9225268188486492,0.16666666666666666,0.7558601521819825,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Sharp MX-27GTCA Toner cyan,Sharp Toner Cyan 15k - MX2300/2700,,Sharp,89.9,1395
test,tp_recovered_by_soft_penalty,37373317#14276753,1,0.9221989782660632,0.16666666666666666,0.7555323115993966,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Nikon EN-EL9a Li-Ion Battery for D3000 and D5000 DSLR cameras,Nikon EN-EL9a Rechargeable Battery,Nikon,,54.16,49.95
test,tp_recovered_by_soft_penalty,25895411#68464601,1,0.914207247753752,0.16666666666666666,0.7475405810870853,soft_score_penalty,0.66,1.0,1.0,invalid,"[""model_token_conflict""]","[""model_token_conflict""]",Garmin STRIKER™ Plus 7SV w/CV52HW-TM Transducer,Garmin STRIKER Plus 7sv with Transducer,Garmin,,500.00,499.99
